collegeCode,collegeName,highestCutoff,competitiveBranch,cutoffYear,closingRank,programs,placementRate,medianSalary,averageSalary,highestSalary,placementYears,nirfEngineering,nirfYear,naacGrade,autonomous,hostelAvailable,facilities,website,evidenceConfidence,evidenceSourceCount,evidenceSources,missingFields,dataCoveragePercent
1110,"Prathyusha Engineering college, (Autonomous) Aranvoyalkuppam, Thiruvallur District 602025",165.5,CS,2025,75061,10,,,,,0,,,,false,true,Transport | Central library | Laboratories | Cafeteria | Auditorium | Medical facilities,www.prathyusha.edu.in,medium,3,https://prathyusha.edu.in/ | https://prathyusha.edu.in/infrastructure/ | https://prathyusha.edu.in/hostel/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1111,Rajalakshmi Engineering College (Off Campus),,,,,0,,,,,0,,,,false,,,,unknown,0,,highestCutoff | closingRank | programs | placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | hostelAvailable | facilities | website,8
1112,"R M D Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District 601206",182.5,CS,2025,29535,5,66.08,400000,420000,2200000,4,201-300,2025,,true,true,Sports facilities | Auditorium | Central library | Laboratories | Gymnasium,www.rmd.ac.in,high,5,https://www.rmd.ac.in/placement/placement.html | https://www.rmd.ac.in/nirf/overall-dcs2026.pdf | https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html | https://www.rmd.ac.in/campus/facilities.html | https://www.rmd.ac.in/,naacGrade,92
1113,"R M K Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District 601206",190,CS,2025,13444,11,85,600000,507000,2500000,4,151-200,2025,A,true,true,Central library | Innovation centre | Laboratories | Gymnasium,www.rmkec.ac.in,high,5,https://www.rmkec.ac.in/2023/training_placement/about-training-and-placement/ | https://www.rmkec.ac.in/2023/wp-content/uploads/2026/04/R.M.K.-Engineering-College-NIRF-2026-Overall-1.pdf | https://www.nirfindia.org/Rankings/2025/EngineeringRanking200.html | https://www.rmkec.ac.in/2023/ | https://www.rmkec.ac.in/2023/campus/general-facilities/,,100
1114,"S A Engineering College (Autonomous), Thiruverkadu, Chennai 600077",168,CS,2025,67643,11,82,400000,,,4,,,,true,true,Sports facilities | Cafeteria | Gymnasium | Central library,www.saec.ac.in,medium,3,https://www.saec.ac.in/placement.php | https://www.saec.ac.in/assets/images/nirf/S.A.EngineeringCollege20260226-Overall.pdf | https://www.saec.ac.in/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1115,"Sri Ram Engineering College, Perumalpattu, Veppampattu (R S), Thiruvallur District 602 024",155.5,EC,2025,102845,8,,,,,0,,,,false,,,,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | hostelAvailable | facilities | website,31
1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District 631203",167,CS,2025,71033,9,,,300000,,1,,,,false,true,Cafeteria | Wi-Fi campus | Laboratories | Central library | Transport,www.sriventech.ac.in,medium,3,https://www.sriventech.ac.in/ | https://www.sriventech.ac.in/hostel.php | https://www.sriventech.ac.in/it-facilities.php,placementRate | medianSalary | highestSalary | nirfEngineering | naacGrade,62
1118,"Vel Tech Multi Tech Dr. Rangarajan Dr.Sakunthala Engineering College (Autonomous), Avadi-Alamathi Road, Chennai 600 062",175,CS,2025,48194,9,90,400000,,,4,,,,true,true,Central library | Laboratories,www.veltechmultitech.org,medium,3,https://www.veltechmultitech.org/placements/ | https://www.veltechmultitech.org/wp-content/uploads/2026/02/2026-NIRF-ENGINEERING.pdf | https://www.veltechmultitech.org/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Chennai 600066",180,CS,2025,35779,10,,,,,0,,,,true,true,,www.velammal.edu.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1121,"Sri Venkateswara Institute of Science and Technology, Kozhundalur, Thiruvallur District 631203",117,CS,2024,157687,4,,,,,0,,,,false,true,Cafeteria,www.sverct.in,medium,1,https://www.sverct.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1122,"Vel Tech High Tech Dr. Rangarajan Dr.Sakunthala Engineering College (Autonomous), Avadi-Alamathi Road, Chennai 600 062",176,CS,2025,46330,9,,,,,0,,,A,true,true,Innovation centre | Central library | Medical facilities | Sports facilities,https://www.velhightech.com,medium,2,https://www.velhightech.com/ | https://www.velhightech.com/single_page.php?id=NP-18&mid=MID-2&sid=SID-39,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering,62
1123,"Gojan School of Business and Technology, Alamathi, Chennai 600062",149.5,CS,2025,120199,14,,,,,0,,,,false,true,,www.gojaneducation.tech,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1126,"J.N.N Institute of Engineering(Autonomous), Ushaa Garden, Kannigaipair Village, Uthukottai Taluk, Thiruvallur District 601102",168,EC,2025,67797,7,,,,,0,,,A,true,true,Laboratories | Innovation centre | Central library,https://www.jnn.edu.in/,medium,2,https://www.jnn.edu.in/ | https://www.jnn.edu.in/naac/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering,62
1127,"St. Peters College of Engineering and Technology, College Road, Avadi, Chennai",144.5,CH,2025,133634,9,70,280000,,,2,,,,false,true,Gymnasium | Innovation centre | Laboratories | Central library | Sports facilities | Medical facilities,www.spcet.ac.in,medium,4,https://www.spcet.ac.in/assets/img/2025/doc/nirf_engineering.pdf | https://www.spcet.ac.in/naac.php | https://www.spcet.ac.in/ | https://www.spcet.ac.in/infrastructure.php,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1128,"R M K College of Engineering and Technology (Autonomous), Puduvoyal, Gummidipoondi Taluk, Thiruvallur District 601206",178.5,CS,2025,39942,5,,,,6600000,1,201-300,2025,,true,true,Cafeteria | Auditorium | Sports facilities | Gymnasium | Central library,www.rmkcet.ac.in,high,3,https://www.rmkcet.ac.in/ | https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html | https://www.rmkcet.ac.in/hostel.php,placementRate | medianSalary | averageSalary | naacGrade,69
1133,"AnnaiVeilankannis College of Engineering, Gandhi Road, Nedungundram, Chennai 600048",129.5,AD,2025,174648,4,,,,,0,,,,false,true,,https://avce.annaiveilankannis.com,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1137,"Annai Mira College of Engineering and Technology, Arcot Road, Arappakkam Village, WalajaTaulk, Ranipet District 632 517",164.5,CS,2025,76945,7,95,,,,1,,,A,false,true,Medical facilities | Cafeteria | Auditorium | Laboratories | Central library,www.amcet.in,medium,3,https://amcet.in/ | https://amcet.in/infrastructure/smart-classrooms/ | https://amcet.in/infrastructure/,medianSalary | averageSalary | highestSalary | nirfEngineering,69
1140,"Jeppiaar Institute of Technology, kunnam Village, SriperumpudurTaulk, Kancheepuram District 631604",174,AD,2025,49852,6,67.96,419000,,,2,,,,false,true,Cafeteria | Sports facilities | Medical facilities | Gymnasium | Innovation centre | Laboratories | Central library,www.jeppiaarinstitute.org,medium,4,https://www.jeppiaarinstitute.org/wp-content/uploads/2025/01/NIRF-ENGINEERING.pdf | https://www.jeppiaarinstitute.org/ | https://www.jeppiaarinstitute.org/hostel-life/ | https://www.jeppiaarinstitute.org/lab-facilities/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1150,"Sri Jayaram Institute of Engineering and Technology, 51 N, Elavur, 58N, Natham, Gummidipoondi Taluk, Thiruvallur District 601201",110,AD,2025,215577,5,,,,,0,,,,false,true,Central library | Cafeteria,www.sjiet.org,medium,1,https://www.sjiet.org/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1202,"D M I College of Engineering, Palanchoor, Nazrethpet, Chennai 602103",148.5,EC,2025,123728,8,,,,,0,,,,false,true,Gymnasium | Laboratories | Central library | Auditorium | Cafeteria | Medical facilities,www.dmice.ac.in,medium,2,https://dmice.ac.in/infrastructure/ | https://dmice.ac.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1203,Madras Engineering College,156,CS,2025,102154,6,,,,,0,,,,false,,,,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | hostelAvailable | facilities | website,31
1207,"Kings Engineering College, Sriperumpudur Taluk, Kancheepuram District",150,AM,2025,118445,8,39.58,300000,450000,450000,4,,,A,false,true,Gymnasium | Laboratories | Transport | Central library | Cafeteria | Auditorium | Sports facilities,www.kingsedu.ac.in,medium,6,https://www.kingsedu.ac.in/placements/ | https://kingsedu-assets.in-maa-1.linodeobjects.com/nirf/NIRF-KEC.pdf | https://www.kingsedu.ac.in/accreditations/ | https://www.kingsedu.ac.in/naac/ | https://www.kingsedu.ac.in/campus-life/ | https://www.kingsedu.ac.in/,nirfEngineering,92
1210,"Panimalar Engineering College (Autonomous), Nazarethpet, Poonamallee, Chennai 602123",179.5,CS,2025,37908,7,85.19,600000,,1500000,4,,,,true,true,Central library,www.panimalar.ac.in,medium,3,https://www.panimalar.ac.in/placement.php | https://www.panimalar.ac.in/assets/pdf/academics/nirf/PEC-NIRF_2026-Engineering.pdf | https://www.panimalar.ac.in/,averageSalary | nirfEngineering | naacGrade,77
1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",193.5,CS,2025,7010,19,,,,,0,101-150,2025,,true,true,Medical facilities | Cafeteria | Central library,www.rajalakshmi.edu.in,high,2,https://www.nirfindia.org/Rankings/2025/EngineeringRanking150.html | http://www.rajalakshmi.edu.in/,placementRate | medianSalary | averageSalary | highestSalary | naacGrade,62
1212,"Rajiv Gandhi College of Engineering, Nemili, Sriperumpudur Taluk, Kancheepuram District 602105",143.5,CS,2025,137357,7,100,,,,1,,,,false,true,Wi-Fi campus | Laboratories | Central library | Transport | Cafeteria | Auditorium | Medical facilities,www.rgce.edu.in,medium,2,https://rgei.ac.in/ | https://rgei.ac.in/facilities-infrastructure.php,medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,62
1213,"S K R Engineering College, Poonamallee, Chennai 600123",,,,,0,,,,,0,,,,false,true,,www.skrec.in,unknown,0,,highestCutoff | closingRank | programs | placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,23
1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",190,SC,2025,12994,10,97,550000,536000,4400000,4,201-300,2025,,true,true,Medical facilities | Central library | Laboratories | Wi-Fi campus,www.saveetha.ac.in,high,6,https://saveetha.ac.in/placement/ | https://saveetha.ac.in/wp-content/uploads/2026/02/SAVEETHA-ENGINEERING-COLLEGE20260216-.pdf | https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html | https://saveetha.ac.in/hostel/ | https://saveetha.ac.in/ | https://saveetha.ac.in/computing-internet-facility/,naacGrade,92
1217,"Sree Sastha Institute of Engineering and Technology, Chembarambakkam, Chennai 600103",152.5,AL,2025,112278,14,92,250000,,2200000,2,,,A,false,true,Central library | Laboratories,https://sasthainstitutions.in/,medium,3,https://sasthainstitutions.in/ | https://sasthainstitutions.in/wp-content/uploads/2024/03/NIRF-2024.pdf | https://sasthainstitutions.in/infrastructure/,averageSalary | nirfEngineering,85
1218,"Sri Muthukumaran Institute of Technology, Near Mangadu, Chennai 600069 Sri Venkateswara College of Engineering (Autonomous), Post Bag No.1, Chennai-",158,CS,2025,96754,11,92.59,350000,,450000,4,,,A,false,true,Cafeteria | Central library | Gymnasium | Laboratories | Innovation centre,www.smit.edu.in,medium,3,https://smit.edu.in/placement/ | https://smit.edu.in/wp-content/uploads/2026/04/Overall-NIRF-2026.pdf | https://smit.edu.in/,averageSalary | nirfEngineering,85
1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.1, Chennai-Bengaluru High Road, Pennalur, Irungattukottai S.O., Sriperumbudur Taluk, Kancheepuram District 602105",192,CS,2025,9491,12,82.15,620000,700000,4700000,4,201-300,2025,A,true,true,Central library | Laboratories,www.svce.ac.in,high,3,https://www.svce.ac.in/ | https://www.svce.ac.in/wp-content/uploads/2026/04/NIRF-Engineering.pdf | https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html,,100
1221,"Jaya College of Engineering and Technology, Parivakkam, Poonamallee, Chennai 600056",120,CS,2025,195777,2,,,,,0,,,,false,,,,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | hostelAvailable | facilities | website,31
1222,"P B College of Engineering, Irungkattukottai, Sriperumpudur Taluk, Kancheepuram District 602117",140,AD,2025,145888,8,,,,,0,,,,false,true,Auditorium | Cafeteria | Sports facilities | Central library | Transport | Laboratories,www.pbce.in,medium,2,https://www.pbce.in/infrastructure.html | https://www.pbce.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1225,Chennai 600123,166.5,CS,2025,72288,7,,,,,0,,,,false,true,,www.litedu.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1226,"P T Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery, Veliyur Post, Kancheepuram District 631 502",162,IT,2025,84211,6,,,,,0,,,,false,true,,www.ptleecncet.com,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1228,"Alpha College of Engineering, No.34, Udayavar Koil Street, Poonamallee, Thirumazhisai, Chennai - 600124",147,CS,2025,127257,7,,,,,0,,,,false,true,Transport | Central library | Sports facilities | Cafeteria,https://alphagroup.edu/engineering/,medium,2,https://alphagroup.edu/engineering/campus-life.php | https://alphagroup.edu/engineering/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1229,"Indira Institute of Engineering and Technology, VGR Gardens, Pandur, Thiruvallur District 631203",138,ME,2025,151421,5,,,,,0,,,,false,true,Cafeteria | Auditorium | Central library | Gymnasium | Laboratories,www.indiraeducational.org,medium,1,https://www.indiraeducational.org/?campus_life,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1230,"Apollo Engineering College, Mevaloorkuppam, Valarpuram Post, Sriperumpudur, Kancheepuram District 602105",141,CS,2025,143877,7,,,,,0,,,,false,true,,www.apolloengg.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1232,"A R M College of Engineering and Technology, Sattamangalam, Maraimalainagar, Chengalpattu District 603209",150.5,SC,2025,117563,6,,,,,0,,,,false,,,,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | hostelAvailable | facilities | website,31
1233,"Adhi College of Engineering and Technology, Pazhayaseevaram, Madura Sankarapuram Village, Kancheepuram District 631605",145,AD,2025,132167,6,,,,900000,1,,,B,false,true,Central library | Laboratories,www.adhi.edu.in,medium,1,https://www.adhi.edu.in/,placementRate | medianSalary | averageSalary | nirfEngineering,69
1235,"JeiMathaajee College of Engineering, Vishaandikuppam, Karappettai (via), Siruvakkam, Kancheepuram District 631 552",112.5,CS,2025,211275,3,,,,,0,,,,false,,,,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | hostelAvailable | facilities | website,31
1237,"Velammal Institute of Technology, Chennai-Kolkatta Highway, Panchetti Village, Ponneri Taluk, Thiruvallur District 601204",167,CS,2025,70409,7,75.58,412000,,,3,,,,false,true,Laboratories | Central library | Transport | Medical facilities | Cafeteria,WWW.VELAMMALITECH.EDU.IN,medium,3,https://velammalitech.edu.in/wp-content/uploads/2026/04/NIRF-Engineering-2026.pdf | https://velammalitech.edu.in/cse-infrastructure/ | https://velammalitech.edu.in/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1238,"G R T Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani Taluk, Thiruvallur District 631209",155,CS,2025,104635,7,88.96,327000,,,3,,,A,false,true,Laboratories | Central library | Transport,www.grt.edu.in,medium,3,https://grt.edu.in/wp-content/uploads/2026/02/NIRF-ENGINEERING-2026.pdf | https://grt.edu.in/ | https://grt.edu.in/facilities/hostel/,averageSalary | highestSalary | nirfEngineering,77
1241,"T J S Engineering College, Peruvoyal, Near Kavaraipettai, Gummidipoondi Taluk, Thiruvallur District 601206",149,CS,2025,121695,7,,,,,0,,,,false,true,Cafeteria | Medical facilities | Central library,www.tjsec.in,medium,1,https://tjsec.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1243,"Sadhananthapuram, Thandalam Post, Chennai 602101",129,IT,2025,175243,5,,,,,0,,,,false,true,,www.mietchennai.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1301,"Mohammed Sathak A J College of Engineering, Old Mahabalipuram Road (OMR), Egattur, Chengalpattu District 603103",161.5,CS,2025,86190,12,16.07,420000,320000,600000,4,,,,false,true,Gymnasium | Innovation centre | Laboratories | Central library | Cafeteria | Sports facilities | Medical facilities,www.msajce-edu.in,medium,5,https://www.msajce-edu.in/uploads/aqar/AnnualReport2023-2024.pdf | https://www.msajce-edu.in/uploads/nift/MSAJCE-ENGG-2026.pdf | https://www.msajce-edu.in/naac.php | https://www.msajce-edu.in/ | https://www.msajce-edu.in/hostel.php,nirfEngineering | naacGrade,85
1303,"Anand Institute of Higher Technology, Old Mahabalipuram Road (OMR), Kazhipattur, Chengalpattu District 603103",153,AD,2025,110802,9,95.38,385000,,,2,,,,false,true,Transport | Central library | Cafeteria,www.aiht.ac.in,medium,3,http://www.aiht.ac.in/vendor/pdf/AIHT-NIRF-DCS-ENGG.pdf | http://www.aiht.ac.in/hostel.php | http://www.aiht.ac.in/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1304,"Easwari Engineering College (Autonomous), Ramapuram, Chennai 600089",188,CS,2025,17161,15,,,,,0,101-150,2025,,true,true,Medical facilities | Auditorium | Cafeteria | Sports facilities | Central library | Laboratories | Gymnasium,www.srmeaswari.ac.in,high,3,https://www.nirfindia.org/Rankings/2025/EngineeringRanking150.html | https://srmeaswari.ac.in/ | https://srmeaswari.ac.in/hostel/,placementRate | medianSalary | averageSalary | highestSalary | naacGrade,62
1306,"Jeppiaar Engineering College, Old Mahabalipuram Road (OMR), Chennai",174,CS,2025,51572,9,36.94,400000,,,2,,,,false,true,Laboratories | Central library | Medical facilities | Auditorium | Cafeteria | Sports facilities,www.jeppiaarcollege.org,medium,2,https://jeppiaarcollege.org/jeppiaar/wp-content/uploads/2025/07/NIRF-OVERALL-2025.pdf | https://jeppiaarcollege.org/jeppiaar/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1307,"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100",169,CS,2025,64804,9,92.2,500000,,1200000,3,,,,true,true,Auditorium | Innovation centre,https://www.jerusalemengg.ac.in,medium,3,https://jerusalemengg.ac.in/placement/index.php | https://jerusalemengg.ac.in/pdf/JCE-Engineering-NIRF2025.pdf | https://www.jerusalemengg.ac.in/,averageSalary | nirfEngineering | naacGrade,77
1309,"Meenakshi Sundararajan Engineering College, Kodambakkam, Chennai 600024",180.5,CS,2025,35162,7,97.27,560000,,1800000,4,,,,false,true,Laboratories | Central library | Auditorium,www.msec.edu.in,medium,3,https://msec.edu.in/placement%20brochure.pdf | https://msec.edu.in/Meenakshi%20Sundararajan%20Engineering%20College20260304-.pdf | https://msec.edu.in/students-life.html,averageSalary | nirfEngineering | naacGrade,77
1310,"MisrimalNavajeeMunoth Jain Engineering College, Rajiv Gandhi Salai (OMR), Thorappakkam, Chennai 600096",167,CS,2025,71182,8,,,,,0,,,,false,true,Central library | Medical facilities | Cafeteria,www.mnmjec.ac.in,medium,1,https://www.mnmjec.ac.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1311,"K C G College of Technology, (Autonomous) Karappakkam, Chennai 600096",179.5,AO,2025,37825,14,85.2,600000,,,3,,,,true,true,Central library | Laboratories,www.kcgcollege.ac.in,medium,3,https://kcgcollege.ac.in/pdf/NIRF-2026/NIRF-DCS-FULL-REPORT-ENGINEERING-2026.pdf | https://kcgcollege.ac.in/ | https://kcgcollege.ac.in/academics/aeronautical-aerospace/infrastructure-facilities/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1316,"Agni College of Technology, Old Mahabalipuram Road (OMR), Thalambur Village, Chengalpattu District 603103",162.5,AD,2025,82748,10,,,,,0,,,,false,true,,www.act.edu.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1317,"St. Joseph’s College of Engineering (Autonomous), Old Mahabalipuram Road (OMR), Chennai 600 119",187.5,CS,2025,18987,13,79.35,475000,,,3,201-300,2025,,true,true,Laboratories,www.stjosephs.ac.in,high,3,https://stjosephs.ac.in/NIRF/NIRF2026/NIRF2026.pdf | https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html | https://stjosephs.ac.in/index.html,averageSalary | highestSalary | naacGrade,77
1319,"Thangavelu Engineering College, Karappakkam, Chennai 600097",130.5,AD,2025,171713,7,,,,,0,,,,false,true,,www.thangavelu.edu.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1321,"of Plastics Engineering and Technology) (CIPET), Guindy, Chennai 600032",178.5,MN,2025,39485,2,,,,,0,,,,false,true,,www.cipet.gov.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1322,"Dhanalakshmi Srinivasan College of Engineering and Technology, East Coast Road, Poonjeri, Chennai 603104",149.5,AD,2025,120859,17,98.13,420000,,,2,,,,false,true,Gymnasium | Laboratories | Innovation centre | Central library | Medical facilities,www.dscet.ac.in,medium,3,https://dscet.ac.in/nirf/pdf/NIRF2025.pdf | https://dscet.ac.in/hostel/ | https://www.dscet.ac.in/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1325,"St. Joseph College of Engineering, Trinity Campus, Nemili, Sriperumpudur Taluk, Kancheepuram District 602105",155,AD,2025,105357,6,90.52,375200,700000,700000,4,,,,false,true,Innovation centre | Central library,www.stjoseph.ac.in,medium,3,https://www.stjoseph.ac.in/placement1.php | https://www.stjoseph.ac.in/nirf/NIRF%20Report%202026.pdf | https://www.stjoseph.ac.in/,nirfEngineering | naacGrade,85
1333,"Vi Institute of Technology, Sirunkundram Village & Post, Chengalpattu District",104.5,EE,2025,224269,6,,,,,0,,,,false,,,,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | hostelAvailable | facilities | website,31
1335,"Sri Krishna Institute of Technology, Panapakkam, Padappai, Chennai 601301",116,SC,2025,204547,6,,,,,0,,,,false,true,,www.srikrishnait.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
